cell_id,x,y,z,cell_type,volume,activation_level,miR_455_3p_level,miR_148a_5p_level,alpha_SMA_production,collagen_I_production,exosome_uptake_rate,last_exosome_uptake,miR_455_3p_effect,miR_148a_5p_effect,synergy_factor,cell_cycle_phase,stress_level,metabolic_activity,receptor_density,endosome_count,lysosome_count,mitochondria_activity,ER_stress,autophagy_level,senescence_markers,surface_receptor_count,internalized_receptor_count,vesicle_count,secretory_vesicle_count,actin_polymerization,stress_fiber_density,cell_stiffness,migration_speed,protrusion_activity,TGF_pathway_activity,PDGF_pathway_activity,apoptosis_pathway_activity,proliferation_signal
0,-19.13867703884841,90.04801519833501,-127.46241073916771,0,4232.9231699561915,0.11906854050972443,0.19213011613609457,0.3362277032381655,-0.3247341081490167,-0.34020964684169286,0.4319707488141561,2160,0.6576867824424749,0.7707619225975582,2.038829025571672,0.0,0.22029751419304394,0.587780820976033,92.83422029133442,4.921301161360946,14,0.4242913441841256,-0.06649437549907096,0.06608925425791318,0.0,72.56674135138493,20.267478939949477,15,9,0.21879626494675258,0.10175364078523409,0.6526304611778512,0.21411646704244608,0.32117470056366915,0.09402003567232513,0.420751552240415,0.06294620226563319,0.7012525870673584
1,-80.67704089784955,305.8823068351164,-120.0,0,4065.0310340360948,0.12992934521078955,0.21465880685249067,0.3756529119918586,-0.46016916757389364,-0.4353898227390378,0.4083675022029404,2160,0.6821954516376236,0.7897626662659607,2.1148059000766333,0.0,0.6447122987863925,0.31153787161554014,87.53570720871855,5.146588068524906,16,0.4170916269180395,-0.08955589903129316,0.19341368963591773,0.0,67.31783425993687,20.21787294878167,12,9,0.3051026126704431,0.2596731104574763,0.8895096656862145,0.11247177514600502,0.16870766271900753,0.24015331788755742,0.31141031130003655,0.18000772410655946,0.5190171855000609
2,-210.69128598700865,-182.1684478516228,-168.52800362396536,0,4014.020955096157,0.12875732054820702,0.20497298547180487,0.35870272457565844,-0.4123693628418512,-0.4051330917592273,0.4909233485873414,2160,0.6721021048953035,0.7819938826556807,2.083516525175441,0.0,0.5688417550286383,0.33252787292621827,84.97732589425337,6.0497298547180485,11,0.36184817058782426,-0.08175024546010785,0.1706525265085915,0.0,75.9273199267683,9.050005967485058,10,7,0.2579375465103678,0.11073495155012644,0.6661024273251896,0.12016652979281496,0.18024979468922245,0.08928278243211275,0.31921133683971686,0.16034830048352872,0.5320188947328615
3,-12.577974459896938,-259.06573845784294,-141.29860305157104,0,4122.176579147204,0.12501864407575025,0.15126586877332057,0.26471527035331094,-0.1235275033601606,-0.22162513900269468,0.6021344159039487,2160,0.6020151861922203,0.7258135095272349,1.866247077195883,0.0,0.5129901493028655,0.3641071607418904,117.29515698063484,7.5126586877332056,14,0.4163349202432245,-0.03451526423628552,0.15389704479085964,0.0,103.77316009865905,13.521996881975799,13,11,0.17105690166844809,0.024160388088910703,0.536240582133366,0.13198680923648948,0.19798021385473422,0.13491132281957524,0.33481922022813,0.15432061852156986,0.55803203371355
4,154.98023233667604,-138.9142965167532,-162.91464950938575,0,3810.2150220988847,0.12478996763457631,0.18723108966398624,0.32765440691197584,-0.31667613546958434,-0.3420586691255603,0.4387312842302127,2160,0.6518482727027086,0.7661663287370659,2.0207296453783967,0.0,0.32025208316463033,0.4272661211289253,58.74612217818978,3.8723108966398625,19,0.3521072368989694,-0.06587348045951447,0.0960756249493891,0.0,41.47740978251598,17.268712395673806,10,8,0.28707503019629693,0.1432885093748849,0.7149327640623273,0.15491089082346127,0.2323663362351919,0.09723673106506235,0.3553222829970882,0.09200772207197255,0.592203804995147
5,89.9242356132194,165.752117989188,-156.53645106455028,0,4794.488007052489,0.1236514911430793,0.18381223752475978,0.3216714156683296,-0.29707437956936583,-0.3286611907785901,0.49897877443825833,2160,0.6476543757515881,0.7628485207101253,2.0077285648299235,0.0,0.38545643646558336,0.4393795677233393,98.18170193309682,5.838122375247598,14,0.24613958498828586,-0.06257355703479558,0.115636930939675,0.0,72.94691146753316,25.234790465563663,12,9,0.2654624199489688,0.028696753664381805,0.5430451304965727,0.15945284547129798,0.23917926820694696,0.2221671408486925,0.36643519568867244,0.11117510521861433,0.6107253261477874
6,14.861099773272437,-57.23017033879374,-135.28954270349482,0,5604.571103618464,0.11722457922958347,0.17918582941193673,0.31357520147088924,-0.25974588976387714,-0.2980717703498706,0.4023694650953971,2160,0.6418156315073904,0.7582060054753095,1.9896284576729104,0.0,0.03732037532588969,0.6616681261925867,113.34496524154714,4.7918582941193675,14,0.47019362825157596,-0.055781766011374766,0.011196112597766908,0.0,88.77810513115708,24.566860110390067,13,8,0.21610506515009217,0.15976964054817339,0.73965446082226,0.24139812017226886,0.3620971802584033,0.06349843142853412,0.4352913911783041,0.010822787719460717,0.7254856519638402
7,-121.3574113114897,320.19242753022417,-121.03957561850095,0,3913.807421428539,0.1302403215610471,0.19023058978321744,0.3329035321206305,-0.34570039856467755,-0.3663152232499511,0.4532255756747174,2160,0.6554463811871338,0.7690016537630501,2.031883781680115,1.466242941352899,0.6651973800662558,0.2910524281475879,120.67587933235723,10.902305897832175,14,0.27384525761694345,-0.07120156218146287,0.19955921401987675,0.0,105.65014079004007,15.025738542317153,13,9,0.2559118991945928,0.06913480977158737,0.603702214657381,0.10504894270911555,0.1575734140636733,0.35805090847484533,0.29826866130868057,0.1904678248997196,0.49711443551446766
8,191.13441477251646,22.87048673514647,-146.9289232286166,0,4644.75719275697,0.12197601782286553,0.1484795916449949,0.25983928537874107,-0.10432728587917534,-0.20591000265254705,0.3738432540969366,2160,0.5975524616006657,0.7220981586411634,1.8524126309620637,0.0,0.18659366360540158,0.4693609391937762,94.5646795398773,7.484795916449949,14,0.48010365126415944,-0.031023728853172238,0.05597809908162047,0.0,73.93856661756006,20.626112922317244,4,5,0.2038562063487222,0.20548154778307212,0.8082223216746082,0.1705691421921734,0.2558537132882601,0.0030451718935459865,0.3666545546987107,0.056361065216191275,0.6110909244978512
9,-64.1083036399988,99.48469325933911,-174.41832646487114,0,4894.59414926178,0.12044664767009994,0.17530345966277794,0.3067810544098613,-0.24759383126462803,-0.29431374018267503,0.4843427520907228,2160,0.6367644630311183,0.7541675087472417,1.973969835396467,0.0,0.19997676064256975,0.5352016175774749,67.24018624509657,7.75303459662778,13,0.4643625949942961,-0.0541907571447303,0.05999302819277092,0.0,57.00768075662937,10.232505488467199,8,7,0.2704212291261708,0.16652048421071874,0.7497807263160781,0.19474167483154345,0.29211251224731516,0.10503919845971971,0.3971718814601167,0.05826526982272207,0.6619531357668612
10,-71.77765090845612,172.90852069419188,-120.0,0,4703.885427140675,0.12458701279011325,0.23342577773166598,0.4084951110304154,-0.5176450935202859,-0.4631258747853268,0.3036794802515701,2160,0.7000831768907865,0.8033412754011344,2.1702578483614383,0.0,0.4467839051362913,0.44723670139127364,82.25469517424986,9.33425777731666,15,0.4865452805536285,-0.09807709683056128,0.13403517154088737,0.0,65.7361494478965,16.518545726353373,11,10,0.21182090476890608,0.06953048612860326,0.6042957291929049,0.16217871516557666,0.24326807274836498,0.29297701766603756,0.37532866559260625,0.1226360753872895,0.6255477759876771
11,-79.47443490417407,338.18118911246995,-180.0,0,4374.550033014238,0.13368465864205017,0.25704275101968244,0.44982481428444415,-0.6488407065357866,-0.552019657591575,0.5083738115150938,2160,0.7199214947946462,0.8181238870963972,2.2317566338634034,0.0,0.7910986493335025,0.25859256592715024,108.77442118925359,11.570427510196824,15,0.17817395507235664,-0.12008603641273616,0.23732959480005072,0.08169657508115272,77.3644680019469,31.409953187306687,13,10,0.21398829734102115,0.07606974971300082,0.6141046245695012,0.09306606869985722,0.13959910304978582,-0.009984081224871114,0.28253989074958985,0.21303748103260595,0.47089981791598307
12,126.15084809664046,184.04219758507276,-151.75612739430318,0,3928.0831397835836,0.12177336794279071,0.12275811149013671,0.21482669510773922,0.057043340899831874,-0.10090274366543746,0.3447594299842258,2160,0.5510825651597976,0.6823649278985754,1.7083559519953726,0.0,0.42689763212139725,0.4029510095314339,104.57727116211535,6.227581114901367,14,0.42109778322162006,-0.004385940276560559,0.12806928963641917,0.0,76.28828142498325,28.288989737132106,8,5,0.3710154608208547,0.24510149564579065,0.867652243468686,0.1464597933485965,0.21968969002289473,0.11312466803754627,0.3504071074558024,0.13446544394079468,0.5840118457596707
