x,y,z,TGF_beta1,exosomes,alpha_SMA,collagen_I,PDGF,VEGF,IL1_beta,TNF_alpha,oxygen,glucose,lactate,ATP
-400,0,-200,6.184434716362826,29.362447517441915,0.0,0.0,1.3120541330248383,1.8,0.35,0.37,0.2,0.4,0.7,0.264
-400,0,-180,6.6470567102533025,28.088434894383507,0.0,0.0,1.2376023137367305,1.76,0.35,0.37,0.2,0.41000000000000003,0.69,0.26560000000000006
-400,0,-160,7.324536940964743,37.99950952348255,0.0,0.0,1.1522415727121522,1.7200000000000002,0.35,0.37,0.2,0.42000000000000004,0.68,0.26720000000000005
-400,0,-140,7.642875230195689,38.573571851846985,0.0,0.0,1.1677762053854073,1.6800000000000002,0.35,0.37,0.2,0.43000000000000005,0.67,0.26880000000000004
-400,0,-120,7.416851656443696,51.02860473464453,0.0,0.0,1.3721226585936657,1.6400000000000001,0.35,0.37,0.2,0.44000000000000006,0.66,0.27040000000000003
-400,0,-100,6.454772540904642,41.03275170545919,0.0,0.0,1.1614150673429726,1.6,0.35,0.37,0.2,0.45,0.65,0.272
-400,0,-80,6.335551576721651,1.7174688395197828,0.0,0.0,1.3873953165856245,1.56,0.35,0.37,0.2,0.46,0.64,0.2736
-400,0,-60,7.672701750882598,2.060207057304047,0.0,0.0,1.2172625645288722,1.52,0.35,0.37,0.2,0.47000000000000003,0.63,0.2752
-400,0,-40,7.33328898475236,2.4076186695012103,0.0,0.0,1.3202692652047672,1.48,0.35,0.37,0.2,0.48000000000000004,0.62,0.27680000000000005
-400,0,-20,7.725683069953287,2.533715751044187,0.0,0.0,1.1500378202975068,1.44,0.35,0.37,0.2,0.49000000000000005,0.61,0.27840000000000004
-400,0,0,8.390603924451977,3.591098487533031,0.0,0.0,1.2964455082795856,1.4,0.35,0.37,0.2,0.5,0.6,0.28
-400,0,20,8.087920048242664,4.949144711950437,0.0,0.0,1.163694124401853,1.3599999999999999,0.35,0.37,0.2,0.51,0.59,0.2816
-400,0,40,7.41003665942277,5.941001399518652,0.0,0.0,1.389733917901843,1.32,0.35,0.37,0.2,0.52,0.5800000000000001,0.2832
-400,0,60,6.311221027157336,5.501749345665785,0.0,0.0,1.2983308552925645,1.28,0.35,0.37,0.2,0.53,0.57,0.28480000000000005
-400,0,80,7.207991539041209,6.367938988020548,0.0,0.0,1.245457816890302,1.24,0.35,0.37,0.2,0.54,0.56,0.28640000000000004
-400,0,100,6.646128671546341,9.438076878693202,0.0,0.0,1.2292705698943078,1.2,0.35,0.37,0.2,0.55,0.55,0.28800000000000003
-400,0,120,7.8648841469971735,10.440692039562219,0.0,0.0,1.3841011201627154,1.16,0.35,0.37,0.52,0.56,0.37999999999999995,0.43296
-400,0,140,7.670435551053465,15.052660555116852,0.0,0.0,1.2761531620139885,1.12,0.35,0.37,0.8400000000000001,0.5700000000000001,0.20999999999999996,0.5830400000000001
-400,0,160,8.513274770336896,14.68369449718308,0.0,0.0,1.1578637509228094,1.08,0.35,0.37,0.8400000000000001,0.5800000000000001,0.19999999999999996,0.5897600000000001
-400,0,180,6.871985291511922,20.846781996298404,0.0,0.0,1.3777684201675602,1.04,0.35,0.37,0.52,0.5900000000000001,0.35,0.44544000000000006
-380,-120,-200,7.651352051594244,26.568818839725207,0.0,0.0,1.1672440047142587,1.8,0.35,0.37,0.2022542346448618,0.40150282309657453,0.6988728826775692,0.2649645169545192
-380,-120,-180,6.890715697076019,28.738893271280382,0.0,0.0,1.1854109841939966,1.76,0.35,0.37,0.2022542346448618,0.41150282309657454,0.6888728826775692,0.26658255083167814
-380,-120,-160,7.574099618472971,37.99349319359935,0.0,0.0,1.152847087154002,1.7200000000000002,0.35,0.37,0.2022542346448618,0.42150282309657455,0.6788728826775692,0.268200584708837
-380,-120,-140,8.401667886918082,31.733245756152375,0.0,0.0,1.3317374921220109,1.6800000000000002,0.35,0.37,0.2022542346448618,0.4315028230965745,0.6688728826775692,0.26981861858599593
-380,-120,-120,7.909735687834282,44.680106736044614,0.0,0.0,1.3809448609800337,1.6400000000000001,0.35,0.37,0.2022542346448618,0.4415028230965745,0.6588728826775692,0.2714366524631548
-380,-120,-100,7.021100201061891,57.67638318441767,0.0,0.0,1.177658895624663,1.6,0.35,0.37,0.2022542346448618,0.4515028230965745,0.6488728826775692,0.2730546863403137
-380,-120,-80,7.943947228514278,1.8200233638236623,0.0,0.0,1.213107077620198,1.56,0.35,0.37,0.2022542346448618,0.46150282309657453,0.6388728826775691,0.2746727202174726
-380,-120,-60,7.571679471414547,1.905671645753019,0.0,0.0,1.2137351289539027,1.52,0.35,0.37,0.2022542346448618,0.47150282309657454,0.6288728826775691,0.2762907540946315
-380,-120,-40,7.760440750388194,2.6546983897359366,0.0,0.0,1.2407170354856023,1.48,0.35,0.37,0.2022542346448618,0.48150282309657455,0.6188728826775691,0.2779087879717904
-380,-120,-20,6.957029504254841,2.583380497942707,0.0,0.0,1.2422025256618212,1.44,0.35,0.37,0.2022542346448618,0.49150282309657456,0.6088728826775691,0.2795268218489493
-380,-120,0,7.327390227239763,3.0172258465644886,0.0,0.0,1.272769917846688,1.4,0.35,0.37,0.2022542346448618,0.5015028230965746,0.5988728826775691,0.2811448557261082
-380,-120,20,7.931065601436749,3.489781435712041,0.0,0.0,1.2932141774081614,1.3599999999999999,0.35,0.37,0.2022542346448618,0.5115028230965746,0.5888728826775691,0.28276288960326706
-380,-120,40,7.23484962312633,5.132234515528784,0.0,0.0,1.3133428578810438,1.32,0.35,0.37,0.2022542346448618,0.5215028230965746,0.5788728826775691,0.284380923480426
-380,-120,60,7.738306688154463,6.917490651107555,0.0,0.0,1.2544322875179952,1.28,0.35,0.37,0.2022542346448618,0.5315028230965746,0.5688728826775691,0.28599895735758485
-380,-120,80,5.484837435587909,7.4665654009391,0.0,0.0,1.1629204517618608,1.24,0.35,0.37,0.2022542346448618,0.5415028230965745,0.5588728826775692,0.28761699123474377
-380,-120,100,7.15568608271276,8.76467276163044,0.0,0.0,1.1708403748739893,1.2,0.35,0.37,0.2022542346448618,0.5515028230965746,0.5488728826775692,0.2892350251119027
-380,-120,120,8.483370116747414,11.326734769895646,0.0,0.0,1.2893028726394737,1.16,0.35,0.37,0.5222542346448618,0.5615028230965746,0.3788728826775691,0.43459778170178465
-380,-120,140,8.208533021407126,15.340037782542922,0.0,0.0,1.3639605637997718,1.12,0.35,0.37,0.8422542346448618,0.5715028230965745,0.2088728826775691,0.5850805382916666
-380,-120,160,8.491200429953217,13.776156404117858,0.0,0.0,1.2563536197752074,1.08,0.35,0.37,0.8422542346448618,0.5815028230965745,0.19887288267756908,0.5918185721688255
