cell_id,x,y,z,cell_type,volume,activation_level,miR_455_3p_level,miR_148a_5p_level,alpha_SMA_production,collagen_I_production,exosome_uptake_rate,last_exosome_uptake,miR_455_3p_effect,miR_148a_5p_effect,synergy_factor,cell_cycle_phase,stress_level,metabolic_activity,receptor_density,endosome_count,lysosome_count,mitochondria_activity,ER_stress,autophagy_level,senescence_markers,surface_receptor_count,internalized_receptor_count,vesicle_count,secretory_vesicle_count,actin_polymerization,stress_fiber_density,cell_stiffness,migration_speed,protrusion_activity,TGF_pathway_activity,PDGF_pathway_activity,apoptosis_pathway_activity,proliferation_signal
0,83.44144316530655,-307.9837372335511,-120.0,0,4974.285042402509,0.0,0.0,0.0,0.0,0.0,0.541562303908836,0,0.0,0.0,1.0,2.8957602328721936,0.7128233340600127,0.30175464612202607,114.13074556944935,5.0,19,0.1284689690547522,0.0,0.21384700021800382,0.0,102.26847770187544,11.862267867573904,8,10,0.24045225411468585,0.07530698793229545,0.6129604818984432,0.12070185844881043,0.18105278767321564,0.21091968904141534,0.31005197900354936,0.3564116670300064,0.516753298339249
1,105.60478987513129,41.99855728889053,-167.8500985910343,0,2528.1668211966517,0.0,0.0,0.0,0.0,0.0,0.4469482879890031,0,0.0,0.0,1.0,0.0,0.07931719915806767,0.564983357636849,93.22293468276871,5.0,14,0.2807469958333443,0.0,0.023795159747420302,0.0,64.08245951163192,29.140475171136792,7,7,0.19429749721827058,0.032728083377878615,0.5490921250668179,0.22599334305473961,0.3389900145821094,0.17504752821801137,0.4009771347038844,0.03965859957903384,0.668295224506474
2,111.33506411094982,-33.72623412676817,-131.18474193783578,0,4177.459434812821,0.0,0.0,0.0,0.0,0.0,0.568348161854505,0,0.0,0.0,1.0,0.0,0.0,0.5958000281168108,101.5327419657607,6.0,12,0.44006544287797733,0.0,0.0,0.0,90.30926812433196,11.223473841428738,7,8,0.16505382914205693,0.16682612287536544,0.7502391843130481,0.2383200112467243,0.35748001687008646,-0.10496001298044516,0.40789947358497813,0.0,0.6798324559749636
3,-104.09561075976508,-228.89189886030212,-138.81600947530998,0,4135.390450191721,0.0,0.0,0.0,0.0,0.0,0.6412099526436397,0,0.0,0.0,1.0,0.0,0.4458589269155392,0.3804525255074121,107.30635179049887,2.0,16,0.588539310731614,0.0,0.13375767807466174,0.0,84.05425346333517,23.252098327163694,11,9,0.199928612186149,0.0,0.5,0.15218101020296484,0.22827151530444728,0.0895965028914711,0.33929835745987336,0.2229294634577696,0.5654972624331223
4,-192.49726040237445,-29.83345637619053,-131.67035709042736,0,4692.681720481277,0.0,0.0,0.0,0.0,0.0,0.19052270499032686,0,0.0,0.0,1.0,1.5725929465626958,0.4335997074672753,0.4368089817078892,99.06889476269235,5.0,12,0.21553468423016828,0.0,0.1300799122401826,0.0,85.1678353257756,13.901059436916753,10,9,0.13294992222836435,0.0,0.5,0.17472359268315568,0.26208538902473355,0.06321820490009228,0.3689504688633385,0.21679985373363764,0.6149174481055641
5,174.9654989350186,129.34393289441593,-163.5678668710918,0,4841.1581229062795,0.0,0.0,0.0,0.0,0.0,0.510044655520184,0,0.0,0.0,1.0,0.0,0.3524391145364277,0.41357185270734603,99.99494106864924,3.0,15,0.24495957339145197,0.0,0.1057317343609283,0.0,70.59679812466146,29.398142943987775,4,11,0.22468537975027864,0.0,0.5,0.16542874108293842,0.24814311162440764,-0.03276636461256729,0.350493170726681,0.17621955726821384,0.5841552845444684
6,-288.3187883439752,-92.32878395584403,-132.42333896529783,0,4522.523268430921,0.0,0.0,0.0,0.0,0.0,0.25842176111117027,0,0.0,0.0,1.0,2.446229210091147,0.4037863771107879,0.34579323721715555,81.76511453274517,5.0,15,0.3958258379784419,0.0,0.12113591313323636,0.0,60.15823382115082,21.606880711594343,6,11,0.19949763328191442,0.13999181141019307,0.7099877171152896,0.13831729488686223,0.20747594233029334,-0.009074951668787174,0.3153477779819194,0.20189318855539395,0.5255796299698656
7,6.630292637293288,-296.14467105821046,-132.0144167536525,0,4626.484608924574,0.0,0.0,0.0,0.0,0.0,0.469547573466581,0,0.0,0.0,1.0,1.467402222308478,0.4675081384539251,0.343469892106108,111.72869686281308,0.0,13,0.46826549189623456,0.0,0.14025244153617752,0.0,97.00795201044825,14.720744852364833,3,10,0.12724019177616525,0.0,0.5,0.1373879568424432,0.2060819352636648,0.0865302286662822,0.318668408868981,0.23375406922696254,0.531114014781635
8,157.03508286908527,261.402785659409,-130.17049521320462,0,4416.5784108853295,0.0,0.0,0.0,0.0,0.0,0.790475398403595,0,0.0,0.0,1.0,0.0,0.47845392575416734,0.33605246909677794,92.77798620389456,5.0,14,0.4187542512786009,0.0,0.14353617772625019,0.0,61.19838885725257,31.57959734664199,4,11,0.25627725518568434,0.0,0.5,0.1344209876387112,0.20163148145806678,-0.0945697630633035,0.31476387934099753,0.23922696287708367,0.5246064655683292
9,295.87677501006175,0.40331225788574976,-166.04289002063103,0,3625.1423413735392,0.0,0.0,0.0,0.0,0.0,0.5445573825652746,0,0.0,0.0,1.0,0.0,0.24735282406447345,0.35772781206384613,132.74004160350313,4.0,18,0.36003007794063563,0.0,0.07420584721934204,0.0,117.17147640417133,15.568565199331793,13,9,0.24766836175409868,0.0,0.5,0.14309112482553846,0.2146366872383077,-0.02228635894383863,0.31118121005020744,0.12367641203223673,0.5186353500836791
10,60.36716787066024,-145.90464080143937,-130.3082797795388,0,4469.361854962272,0.0,0.0,0.0,0.0,0.0,0.4420874165130273,0,0.0,0.0,1.0,0.0,0.35169805654868236,0.4877002371620433,96.67811506931265,3.0,13,0.5896539270095401,0.0,0.10550941696460471,0.0,68.70206263214533,27.976052437167322,8,7,0.1897849150203258,0.0,0.5,0.19508009486481734,0.292620142297226,-0.020942318543088454,0.38752021673222786,0.17584902827434118,0.6458670278870464
