time,total_cells,quiescent_percent,activated_percent,proliferating_percent,senescent_percent,apoptotic_percent,avg_activation,avg_miR455,avg_miR148,avg_stress,avg_metabolism,avg_stress_fibers,treatment_efficacy,synergy_index
0,120,90.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.1,0.97,0.0,0.0,1.0
60,122,83.50333109719925,5.996668902800753,2.6396446829654137,0.0,0.30000000000000004,0.05996668902800753,0.0,0.0,0.1,0.97,0.04797335122240603,0.0,1.0
120,125,77.48612936679605,11.513870633203949,3.228146200875088,0.0,0.30000000000000004,0.11513870633203949,0.0,0.0,0.132639173218225,0.9602082480345325,0.0921109650656316,0.0,1.0
180,127,71.91005873035536,16.589941269644633,3.769593735428761,0.0,0.397917519654675,0.16589941269644634,0.0,0.0,0.14598245805083307,0.9562052625847501,0.13271953015715707,0.0,1.0
240,130,66.7398482930342,21.260151706965804,4.267749515409686,0.0,0.4379473741524992,0.21260151706965805,0.0,0.0,0.18282586904916953,0.9451522392852492,0.17008121365572645,0.0,1.0
300,132,61.94304726503327,25.55695273496672,4.72607495839645,0.0,0.5484776071475086,0.2555695273496672,0.0,0.0,0.15961062230927386,0.9521168133072179,0.20445562187973376,0.0,1.0
360,134,57.48979947844751,29.510200521552495,5.147754722298933,0.0,0.4788318669278216,0.29510200521552493,0.0,0.0,0.21131218006006952,0.9366063459819791,0.23608160417241997,0.0,1.0
420,135,53.352635932753536,33.147364067246464,5.535718833839623,0.0,0.6339365401802086,0.33147364067246465,0.0,0.0,0.19473825725226657,0.9415785228243201,0.2651789125379717,0.0,1.0
480,137,49.5062839274444,36.4937160725556,5.892663047739264,0.0,0.5842147717567997,0.364937160725556,0.0,0.0,0.2318027651183839,0.9304591704644848,0.2919497285804448,0.0,1.0
540,138,45.927491455576096,39.572508544423904,6.2210675780718825,0.0,0.6954082953551517,0.395725085444239,0.0,0.0,0.22714239157662114,0.9318572825270137,0.3165800683553912,0.0,1.0
600,140,42.59486563803087,42.40513436196913,6.523214331943374,0.0,0.6814271747298635,0.4240513436196913,0.0,0.0,0.2127623689547682,0.9361712893135695,0.33924107489575306,0.0,1.0
660,141,39.48872407586355,45.01127592413645,6.8012027652412215,0.0,0.6382871068643046,0.4501127592413645,0.0,0.0,0.24797547908535106,0.9256073562743947,0.3600902073930916,0.0,1.0
720,142,36.590958087858176,47.409041912141824,7.056964470628461,0.0,0.7439264372560532,0.47409041912141825,0.0,0.0,0.2349595520919207,0.9295121343724237,0.3792723352971346,0.0,1.0
780,143,33.88490688300567,49.61509311699433,7.292276599146062,0.0,0.7048786562757621,0.4961509311699433,0.0,0.0,0.2734774253339688,0.9179567723998093,0.39692074493595464,0.0,1.0
840,144,31.35524179359483,51.64475820640517,7.508774208683219,0.0,0.8204322760019064,0.5164475820640517,0.0,0.0,0.2564271315618359,0.9230718605314492,0.4131580656512414,0.0,1.0
900,145,28.987859764514262,53.51214023548574,7.707961625118479,0.0,0.7692813946855077,0.5351214023548574,0.0,0.0,0.22468100184273215,0.9325956994471803,0.42809712188388593,0.0,1.0
960,146,26.769785358679506,55.230214641320494,7.891222895074186,0.0,0.6740430055281965,0.552302146413205,0.0,0.0,0.2554229913713253,0.9233731025886024,0.44184171713056397,0.0,1.0
1020,147,24.68908059767366,56.81091940232634,8.05983140291481,0.0,0.7662689741139759,0.5681091940232634,0.0,0.0,0.29667581758400025,0.9109972547248,0.4544873552186108,0.0,1.0
1080,147,22.734762011132233,58.26523798886777,8.21495871881256,0.0,0.8900274527520007,0.5826523798886777,0.0,0.0,0.27091387454387356,0.9187258376368379,0.46612190391094216,0.0,1.0
1140,148,20.89672431849319,59.60327568150681,8.357682739360726,0.0,0.8127416236316207,0.5960327568150681,0.0,0.0,0.2907902568318185,0.9127629229504545,0.47682620545205445,0.0,1.0
1200,149,19.16567021281714,60.83432978718286,8.488995177299506,0.0,0.8723707704954555,0.6083432978718286,0.0,0.0,0.2656926226806932,0.920292213195792,0.48667463829746294,0.0,1.0
1260,149,17.53304575878338,61.96695424121662,8.60980845239644,0.0,0.7970778680420796,0.6196695424121662,0.0,0.0,0.2868276039032769,0.9139517188290169,0.49573563392973297,0.0,1.0
1320,150,15.990980955977037,63.00901904402296,8.720962031362449,0.0,0.8604828117098307,0.6300901904402296,0.0,0.0,0.30939711149905186,0.9071808665502844,0.5040721523521837,0.0,1.0
1380,150,14.532235054473261,63.96776494552674,8.823228260856187,0.0,0.9281913344971555,0.6396776494552674,0.0,0.0,0.2834472026105608,0.9149658392168317,0.5117421195642139,0.0,1.0
1440,151,13.150146242745947,64.84985375725405,8.917317734107097,0.0,0.8503416078316823,0.6484985375725405,0.0,0.0,0.30293033735287006,0.909120898794139,0.5187988300580324,0.0,1.0
1500,151,11.838585358309231,65.66141464169077,9.003884228447017,0.3,0.9087910120586102,0.6566141464169077,0.0,0.0,0.28154315635315635,0.9155370530940531,0.5252913171335262,0.0,1.0
1560,151,10.591913299451576,66.40808670054842,9.083529248058499,0.6,0.8446294690594691,0.6640808670054843,0.0,0.0,0.31248955025507963,0.9062531349234761,0.5312646936043874,0.0,1.0
1620,152,10.0,67.09505815786018,9.156806203505084,0.8999999999999999,0.9374686507652389,0.6709505815786018,0.0,0.0,0.3434030529693145,0.8969790841092057,0.5367604652628815,0.0,1.0
1680,152,10.0,67.72710241016962,9.22422425708476,1.2,1.0302091589079434,0.6772710241016963,0.0,0.0,0.31349546148777885,0.9059513615536663,0.541816819281357,0.0,1.0
1740,152,10.0,68.30861119430548,9.286251860725919,1.5,0.9404863844633365,0.6830861119430549,0.0,0.0,0.2831927919739645,0.9150421624078107,0.546468889554444,0.0,1.0
1800,153,10.0,68.84362510320759,9.34332001100881,1.7999999999999998,0.8495783759218936,0.6884362510320758,0.0,0.0,0.31471907710665015,0.9055842768680049,0.5507490008256607,0.0,1.0
1860,153,10.0,69.33586166184197,9.39582524392981,2.1,0.9441572313199504,0.6933586166184197,0.0,0.0,0.30912205724677044,0.9072633828259689,0.5546868932947358,0.0,1.0
1920,153,10.0,69.78874115828988,9.444132390217588,2.4,0.9273661717403113,0.6978874115828988,0.0,0.0,0.29224889413268973,0.912325331760193,0.5583099292663191,0.0,1.0
1980,153,10.0,70.20541040949692,9.48857711034634,2.6999999999999997,0.8767466823980692,0.7020541040949693,0.0,0.0,0.3279909872732576,0.9016027038180228,0.5616432832759755,0.0,1.0
2040,153,10.0,70.58876462681776,9.529468226860562,3.0,0.9839729618197728,0.7058876462681776,0.0,0.0,0.2695061050386762,0.9191481684883971,0.5647101170145421,0.0,1.0
2100,154,10.0,70.94146753328839,9.567089870217426,3.3,0.8085183151160287,0.7094146753328838,0.0,0.0,0.3520940980091129,0.8943717705972661,0.567531740266307,0.0,1.0
2160,154,10.0,71.26596987241021,10.0,3.5999999999999996,1.0562822940273386,0.7126596987241021,0.0,0.0,0.307927890970529,0.9076216327088413,0.5701277589792817,0.0,1.0
2220,154,10.0,71.56452643705339,9.8,3.9,0.9237836729115869,0.7156452643705339,0.0,0.0,0.3351450597473185,0.8994564820758044,0.5725162114964272,0.0,1.0
2280,154,10.0,71.83921173680427,9.6,4.2,1.0054351792419556,0.7183921173680428,0.0,0.0,0.3432920133776061,0.8970123959867182,0.5747136938944343,0.0,1.0
2340,154,10.0,72.09193441262084,9.4,4.5,1.0298760401328184,0.7209193441262085,0.0,0.0,0.29498139992975464,0.9115055800210736,0.5767354753009668,0.0,1.0
